comparison,human_mean,model_mean,mean_gap,median_gap,share_human_gt,share_equal,share_model_gt
Average model,0.5950675839312202,0.10815850815850812,0.48690907577271214,0.4786324786324787,0.9727272727272728,0.0,0.02727272727272727
Best single model,0.5950675839312202,0.4909090909090909,0.10415849302212936,0.2,0.509090909090909,0.06363636363636363,0.42727272727272725
Per-pair oracle,0.5950675839312202,0.7181818181818181,-0.12311423425059792,-0.2222222222222222,0.2818181818181818,0.06363636363636363,0.6545454545454545
