comparison,old_model,new_model,old_accuracy,new_accuracy,delta_accuracy,old_human_corr,new_human_corr,delta_human_corr,delta_human_corr_ci_lo,delta_human_corr_ci_mid,delta_human_corr_ci_hi,old_new_profile_corr,newly_solved_n,newly_solved_human_mean,still_failed_n,still_failed_human_mean
GPT 5.1 low -> 5.2 low,gpt-5-1-2025-11-13-thinking-low,gpt-5-2-2025-12-11-thinking-low,0.01818181818181818,0.08181818181818182,0.06363636363636363,0.021665455917474374,0.05025545805742597,0.028590002139951595,,,,0.4558716157441175,7,0.6346681096681096,101,0.5915927581769166
GPT 5.1 med -> 5.2 med,gpt-5-1-2025-11-13-thinking-medium,gpt-5-2-2025-12-11-thinking-medium,0.08181818181818182,0.22727272727272727,0.14545454545454545,0.16029166127181405,0.30578166425565356,0.14549000298383952,-0.04770005203736623,0.15048695636417075,0.3534970335100538,0.3129881161673211,19,0.7187134502923977,82,0.5527668131326668
GPT 5.1 high -> 5.2 high,gpt-5-1-2025-11-13-thinking-high,gpt-5-2-2025-12-11-thinking-high,0.10909090909090909,0.2909090909090909,0.18181818181818182,0.10060086396583978,0.22448304523482873,0.12388218126898895,-0.09096566535928943,0.12565105228581067,0.3453718975298389,0.48211883221470325,21,0.6666666666666666,77,0.5651627953576006
GPT 5.2 high -> xhigh,gpt-5-2-2025-12-11-thinking-high,gpt-5-2-2025-12-11-thinking-xhigh,0.2909090909090909,0.4909090909090909,0.2,0.22448304523482873,0.2762636892631837,0.051780644028354944,-0.09323277630077742,0.05261301485242573,0.2060904504460962,0.45207283583632724,27,0.6264309764309764,51,0.5275274289980172
Opus 4.5 16k -> 64k,claude-opus-4-5-20251101-thinking-16k,claude-opus-4-5-20251101-thinking-64k,0.16363636363636364,0.2909090909090909,0.12727272727272726,0.4385003673021131,0.42963107394000616,-0.008869293362106956,-0.14680837325777843,-0.008327693764714705,0.12744407795715337,0.582370336401526,16,0.6779513888888888,76,0.5232337837600994
